title,publication_date,citations,date,year,month,field,subfield,topics,main_writer,all_writers,author_ids
"Combining IVUS + OCT Data, Biomechanical Models and Machine Learning Method for Accurate Coronary Plaque Morphology Quantification and Cap Thickness and Stress/Strain Index Predictions",2023-01-11,0,2023-01-11,2023,1,Medicine,Surgery,"['Coronary Interventions and Diagnostics', 'Cardiac Imaging and Diagnostics', 'Cardiac Valve Diseases and Treatments']",Liang Wang,"['Liang Wang', 'Jie Zheng']","['https://openalex.org/A5100456534', 'https://openalex.org/A5079200067']"
Natural Monoterpenes as Potential Therapeutic Agents against Atherosclerosis,2023-01-26,0,2023-01-26,2023,1,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,"['Natural product bioactivities and synthesis', 'Natural Antidiabetic Agents Studies', 'Cholesterol and Lipid Metabolism']",Jing Yang,"['Jing Yang', 'Jun Yu']","['https://openalex.org/A5083432886', 'https://openalex.org/A5063184651']"
A dark siren measurement of the Hubble constant using gravitational wave events from the first three LIGO/Virgo observing runs and DELVE,2024-01-09,0,2024-01-09,2024,1,Physics and Astronomy,Astronomy and Astrophysics,"['Pulsars and Gravitational Waves Research', 'Galaxies: Formation, Evolution, Phenomena', 'Gamma-ray bursts and supernovae']",A. Palmese,"['A. Palmese', 'A. Drlica-Wagner', 'David J. Sand']","['https://openalex.org/A5050520135', 'https://openalex.org/A5075015082', 'https://openalex.org/A5061818450']"
Few-shot Node Classification with Extremely Weak Supervision,2023-02-22,0,2023-02-22,2023,2,Computer Science,Artificial Intelligence,"['Domain Adaptation and Few-Shot Learning', 'Advanced Graph Neural Networks', 'Multimodal Machine Learning Applications']",Song Wang,"['Song Wang', 'Chen Chen']","['https://openalex.org/A5100326218', 'https://openalex.org/A5100418485']"
Impact of bridging therapy (BT) on outcome of relapsed refractory multiple myeloma (RRMM) with Ide-cel CAR T-cell therapy: Real-world experience from the US myeloma CAR T consortium.,2023-06-01,0,2023-06-01,2023,6,Medicine,Oncology,"['CAR-T cell therapy research', 'Multiple Myeloma Research and Treatments', 'Advanced Breast Cancer Therapies']",Surbhi Sidana,"['Surbhi Sidana', 'Krina K. Patel', 'Yi Lin']","['https://openalex.org/A5017390274', 'https://openalex.org/A5060313982', 'https://openalex.org/A5090694142']"
Fourteen-Year Outcome of Angle-Closure Prevention with Laser Iridotomy in the Zhongshan Angle-Closure Prevention Study,2023-04-07,0,2023-04-07,2023,4,Medicine,Ophthalmology,"['Glaucoma and retinal disorders', 'Corneal surgery and disorders', 'Ophthalmology and Eye Disorders']",Wei Wang,"['Wei Wang', 'Jian Zhang']","['https://openalex.org/A5100392000', 'https://openalex.org/A5100410092']"
Modular Hybrid Autoregressive Transducer,2023-01-09,0,2023-01-09,2023,1,Computer Science,Artificial Intelligence,"['Speech Recognition and Synthesis', 'Natural Language Processing Techniques', 'Music and Audio Processing']",Yu Zhang,"['Yu Zhang', 'Wei Huang']","['https://openalex.org/A5100433648', 'https://openalex.org/A5100667045']"
Mineralocorticoid receptor antagonist initiation during admission is associated with improved outcomes irrespective of ejection fraction in patients with acute heart failure,2023-07-18,0,2023-07-18,2023,7,Medicine,Cardiology and Cardiovascular Medicine,"['Heart Failure Treatment and Management', 'Hormonal Regulation and Hypertension', 'Cardiac, Anesthesia and Surgical Outcomes']",Adriaan A. Voors,"['Gerasimos Filippatos', 'Marco Metra', 'Adriaan A. Voors']","['https://openalex.org/A5023320363', 'https://openalex.org/A5111211532', 'https://openalex.org/A5074566771']"
A multi-center retrospective study on the efficacy and safety of regorafenib vs. regorafenib combined with PD-1 inhibitors as a second-line therapy in patients with advanced hepatocellular carcinoma,2023-01-01,0,2023-01-01,2023,1,Medicine,Hepatology,"['Hepatocellular Carcinoma Treatment and Prognosis', 'Cancer Immunotherapy and Biomarkers', 'Lung Cancer Treatments and Mutations']",Wen Zhang,"['Wen Zhang', 'Tong Wu']","['https://openalex.org/A5100444378', 'https://openalex.org/A5100736872']"
Non-covalent ligand-oxide interaction promotes oxygen evolution,2023-02-22,0,2023-02-22,2023,2,Energy,"Renewable Energy, Sustainability and the Environment","['Electrocatalysts for Energy Conversion', 'Advanced Memory and Neural Computing', 'Advanced battery technologies research']",Lei Li,"['Lei Li', 'Wei Wang']","['https://openalex.org/A5100440337', 'https://openalex.org/A5016650261']"
"National and regional trends in the prevalence of type 2 diabetes and associated risk factors among Korean adults, 2009–2021",2023-10-04,0,2023-10-04,2023,10,Medicine,Oncology,"['COVID-19 and healthcare impacts', 'COVID-19 Clinical Research Studies', 'Healthcare cost, quality, practices']",Min Seo Kim,"['Min Seo Kim', 'Masoud Rahmati', 'Dong Keon Yon']","['https://openalex.org/A5054993337', 'https://openalex.org/A5075216031', 'https://openalex.org/A5028976173']"
