field,num_papers,num_authors,num_collaborations,network_density,avg_clustering,largest_component_size,num_communities
Engineering,750,671,1513,0.006730876170562982,0.3664910455242259,537,57
Computer Science,260,332,530,0.009645834091653623,0.4897338782172233,176,64
Physics and Astronomy,562,801,19836,0.06191011235955056,0.7801033212993239,717,36
Energy,134,174,201,0.013354594379111023,0.38816324161151755,64,44
Medicine,2501,1527,11420,0.009801725343983055,0.5300865910481894,1453,39
Environmental Science,368,472,920,0.008276656230882723,0.4892710992565905,286,71
"Biochemistry, Genetics and Molecular Biology",818,928,2533,0.005888944686232935,0.46929605334255403,808,69
Materials Science,318,395,624,0.008019019469254,0.4194044071259262,258,59
Health Professions,37,61,106,0.05792349726775956,0.5751366120218581,9,18
Chemistry,86,158,225,0.0181407723937757,0.4440873472519043,40,43
Neuroscience,173,316,962,0.019328912999799077,0.6633928195412139,165,48
"Business, Management and Accounting",53,69,111,0.04731457800511509,0.5354581006754919,29,20
"Economics, Econometrics and Finance",40,107,229,0.04038088520543114,0.7797547727454269,18,27
Agricultural and Biological Sciences,162,242,290,0.009944789273344535,0.4250053665342921,89,56
Earth and Planetary Sciences,76,156,177,0.014640198511166254,0.47626540126540123,31,42
Immunology and Microbiology,133,258,304,0.009169607576991524,0.5261012673803371,35,68
"Pharmacology, Toxicology and Pharmaceutics",10,24,20,0.07246376811594203,0.5972222222222222,4,9
Psychology,41,76,155,0.054385964912280704,0.5759543818754345,19,23
Social Sciences,46,100,122,0.024646464646464646,0.5416190476190476,11,33
Nursing,19,39,32,0.043184885290148446,0.46581196581196577,5,15
Mathematics,17,40,33,0.04230769230769231,0.4833333333333334,4,16
Decision Sciences,28,50,79,0.06448979591836734,0.5491428571428572,8,14
Chemical Engineering,25,57,58,0.03634085213032581,0.5830409356725146,8,18
Dentistry,8,19,14,0.08187134502923976,0.47368421052631576,3,8
Veterinary,1,2,1,1.0,0.0,2,1
Unknown Field,5,21,65,0.30952380952380953,0.7142857142857143,11,5
