author,degree_centrality,betweenness_centrality,eigenvector_centrality,collaboration_span,cross_field_collaborations,weighted_collaboration_strength,publication_count,influence_score,collaboration_diversity
X. Ai,0.074,0.035,0.139,182,181,1567,19,0.304,0.995
Yang Gao,0.047,0.039,0.058,114,113,1936,34,0.248,0.991
Chao Chen,0.049,0.021,0.058,119,118,1233,20,0.204,0.992
C. Chen,0.041,0.009,0.058,99,98,1220,21,0.182,0.99
Y. Ding,0.038,0.0,0.058,91,7,2390,28,0.177,0.077
P. Adlarson,0.071,0.023,0.078,175,7,2087,25,0.176,0.04
M. R. An,0.037,0.0,0.057,91,91,1203,15,0.172,1.0
S. Chen,0.059,0.012,0.055,145,145,307,9,0.168,1.0
Wei Chen,0.062,0.055,0.002,152,151,193,48,0.167,0.993
S. J. Chen,0.037,0.001,0.057,91,91,1115,14,0.166,1.0
P. Albicocco,0.072,0.004,0.104,176,1,1981,23,0.165,0.006
F. De Mori,0.038,0.0,0.058,91,7,2087,25,0.158,0.077
Y. Fang,0.038,0.0,0.058,91,7,1539,18,0.123,0.077
Sandro Tacchella,0.032,0.002,0.0,78,75,800,37,0.121,0.962
R. Farinelli,0.058,0.012,0.058,142,9,1338,17,0.12,0.063
X. Dong,0.044,0.007,0.059,108,19,1264,21,0.12,0.176
Wei Zhang,0.046,0.022,0.0,111,110,146,46,0.117,0.991
Yan Li,0.044,0.023,0.0,108,108,156,32,0.116,1.0
Jing Wang,0.044,0.028,0.0,106,105,144,57,0.114,0.991
X. Chu,0.043,0.004,0.059,105,16,1180,19,0.111,0.152
