Source,Target,Weight,Type
Medicine,"Biochemistry, Genetics and Molecular Biology",6491,Undirected
Medicine,Social Sciences,810,Undirected
Medicine,Environmental Science,527,Undirected
Medicine,Computer Science,984,Undirected
Medicine,Neuroscience,2074,Undirected
Medicine,Immunology and Microbiology,2192,Undirected
Medicine,Engineering,1269,Undirected
Medicine,Health Professions,1432,Undirected
Medicine,Decision Sciences,92,Undirected
Medicine,Agricultural and Biological Sciences,693,Undirected
Medicine,Nursing,404,Undirected
Medicine,Psychology,1021,Undirected
Medicine,Materials Science,286,Undirected
Medicine,Dentistry,158,Undirected
Medicine,Mathematics,216,Undirected
Medicine,"Business, Management and Accounting",94,Undirected
Medicine,"Economics, Econometrics and Finance",414,Undirected
Medicine,Chemistry,251,Undirected
Medicine,Physics and Astronomy,168,Undirected
Medicine,"Pharmacology, Toxicology and Pharmaceutics",235,Undirected
Medicine,Veterinary,84,Undirected
Medicine,Arts and Humanities,64,Undirected
Medicine,Earth and Planetary Sciences,33,Undirected
Medicine,Energy,15,Undirected
Medicine,Chemical Engineering,11,Undirected
Earth and Planetary Sciences,Environmental Science,1367,Undirected
Earth and Planetary Sciences,Agricultural and Biological Sciences,120,Undirected
Earth and Planetary Sciences,Engineering,394,Undirected
Earth and Planetary Sciences,Arts and Humanities,31,Undirected
Earth and Planetary Sciences,"Biochemistry, Genetics and Molecular Biology",99,Undirected
Earth and Planetary Sciences,"Economics, Econometrics and Finance",6,Undirected
Earth and Planetary Sciences,Social Sciences,74,Undirected
Earth and Planetary Sciences,Computer Science,124,Undirected
Earth and Planetary Sciences,Physics and Astronomy,334,Undirected
Earth and Planetary Sciences,Chemical Engineering,12,Undirected
Earth and Planetary Sciences,Materials Science,99,Undirected
Earth and Planetary Sciences,Chemistry,57,Undirected
Earth and Planetary Sciences,Health Professions,7,Undirected
Earth and Planetary Sciences,Decision Sciences,11,Undirected
Earth and Planetary Sciences,Energy,20,Undirected
Earth and Planetary Sciences,Nursing,1,Undirected
Earth and Planetary Sciences,Psychology,9,Undirected
Earth and Planetary Sciences,Mathematics,13,Undirected
Earth and Planetary Sciences,Neuroscience,4,Undirected
Earth and Planetary Sciences,Veterinary,1,Undirected
Earth and Planetary Sciences,"Business, Management and Accounting",1,Undirected
Earth and Planetary Sciences,Immunology and Microbiology,1,Undirected
Environmental Science,Agricultural and Biological Sciences,1046,Undirected
Environmental Science,Social Sciences,398,Undirected
Environmental Science,Immunology and Microbiology,89,Undirected
Environmental Science,Health Professions,179,Undirected
Environmental Science,Energy,324,Undirected
Environmental Science,Engineering,1444,Undirected
Environmental Science,"Business, Management and Accounting",105,Undirected
Environmental Science,"Biochemistry, Genetics and Molecular Biology",796,Undirected
Environmental Science,Mathematics,26,Undirected
Environmental Science,Physics and Astronomy,95,Undirected
Environmental Science,Psychology,106,Undirected
Environmental Science,Chemistry,249,Undirected
Environmental Science,Neuroscience,83,Undirected
Environmental Science,"Economics, Econometrics and Finance",213,Undirected
Environmental Science,Materials Science,355,Undirected
Environmental Science,Chemical Engineering,44,Undirected
Environmental Science,Decision Sciences,38,Undirected
