Id,Label,Count,Domain,Field
Medicine,Medicine,24278,Health Sciences,
Earth and Planetary Sciences,Earth and Planetary Sciences,2455,Physical Sciences,
Environmental Science,Environmental Science,7108,Physical Sciences,
Neuroscience,Neuroscience,4661,Life Sciences,
Computer Science,Computer Science,6025,Physical Sciences,
Agricultural and Biological Sciences,Agricultural and Biological Sciences,3949,Life Sciences,
Arts and Humanities,Arts and Humanities,485,Social Sciences,
Psychology,Psychology,3337,Social Sciences,
Mathematics,Mathematics,929,Physical Sciences,
"Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology",13929,Life Sciences,
Social Sciences,Social Sciences,4772,Social Sciences,
Engineering,Engineering,12253,Physical Sciences,
Health Professions,Health Professions,2671,Health Sciences,
"Economics, Econometrics and Finance","Economics, Econometrics and Finance",2084,Social Sciences,
Materials Science,Materials Science,5566,Physical Sciences,
"Business, Management and Accounting","Business, Management and Accounting",1799,Social Sciences,
Physics and Astronomy,Physics and Astronomy,5139,Physical Sciences,
Decision Sciences,Decision Sciences,1147,Social Sciences,
Chemistry,Chemistry,2574,Physical Sciences,
Immunology and Microbiology,Immunology and Microbiology,3224,Life Sciences,
Energy,Energy,1575,Physical Sciences,
Nursing,Nursing,748,Health Sciences,
Dentistry,Dentistry,302,Health Sciences,
Chemical Engineering,Chemical Engineering,688,Physical Sciences,
"Pharmacology, Toxicology and Pharmaceutics","Pharmacology, Toxicology and Pharmaceutics",475,Life Sciences,
Veterinary,Veterinary,180,Health Sciences,
