Source,Target,Weight,Type
Epidemiology,Oncology,259,Undirected
Epidemiology,"Health, Toxicology and Mutagenesis",6,Undirected
Epidemiology,Health,72,Undirected
Epidemiology,Hepatology,303,Undirected
Epidemiology,Surgery,421,Undirected
Epidemiology,"Endocrinology, Diabetes and Metabolism",196,Undirected
Epidemiology,Nephrology,36,Undirected
Epidemiology,Cardiology and Cardiovascular Medicine,294,Undirected
Epidemiology,Infectious Diseases,511,Undirected
Epidemiology,Agronomy and Crop Science,51,Undirected
Epidemiology,Obstetrics and Gynecology,40,Undirected
Epidemiology,Molecular Biology,415,Undirected
Epidemiology,Virology,97,Undirected
Epidemiology,Gastroenterology,43,Undirected
Epidemiology,Neurology,251,Undirected
Epidemiology,Cognitive Neuroscience,41,Undirected
Epidemiology,"Statistics, Probability and Uncertainty",7,Undirected
Epidemiology,Artificial Intelligence,54,Undirected
Epidemiology,Genetics,203,Undirected
Epidemiology,Pathology and Forensic Medicine,129,Undirected
Epidemiology,Dermatology,64,Undirected
Epidemiology,Molecular Medicine,35,Undirected
Epidemiology,Applied Microbiology and Biotechnology,20,Undirected
Epidemiology,General Health Professions,81,Undirected
Epidemiology,Pharmacology,86,Undirected
Epidemiology,"Public Health, Environmental and Occupational Health",236,Undirected
Epidemiology,Cancer Research,47,Undirected
Epidemiology,Pulmonary and Respiratory Medicine,287,Undirected
Epidemiology,Rehabilitation,71,Undirected
Epidemiology,Physiology,200,Undirected
Epidemiology,Immunology,215,Undirected
Epidemiology,Clinical Biochemistry,32,Undirected
Epidemiology,Global and Planetary Change,1,Undirected
Epidemiology,Psychiatry and Mental health,50,Undirected
Epidemiology,Cell Biology,102,Undirected
Epidemiology,Rheumatology,66,Undirected
Epidemiology,Endocrine and Autonomic Systems,11,Undirected
Epidemiology,Health Informatics,26,Undirected
Epidemiology,Health Information Management,14,Undirected
Epidemiology,Emergency Medicine,108,Undirected
Epidemiology,Transplantation,6,Undirected
Epidemiology,Organizational Behavior and Human Resource Management,4,Undirected
Epidemiology,Biomedical Engineering,32,Undirected
Epidemiology,Critical Care and Intensive Care Medicine,36,Undirected
Epidemiology,Internal Medicine,73,Undirected
Epidemiology,Organic Chemistry,13,Undirected
Epidemiology,Economics and Econometrics,42,Undirected
Epidemiology,Nutrition and Dietetics,29,Undirected
Epidemiology,Family Practice,10,Undirected
Epidemiology,Reproductive Medicine,10,Undirected
Epidemiology,Modeling and Simulation,41,Undirected
Epidemiology,Anesthesiology and Pain Medicine,6,Undirected
Epidemiology,Ophthalmology,46,Undirected
Epidemiology,"Radiology, Nuclear Medicine and Imaging",109,Undirected
Epidemiology,Parasitology,37,Undirected
Epidemiology,Urology,21,Undirected
Epidemiology,"Pediatrics, Perinatology and Child Health",88,Undirected
Epidemiology,Animal Science and Zoology,30,Undirected
Epidemiology,Ocean Engineering,3,Undirected
Epidemiology,"Geography, Planning and Development",5,Undirected
Epidemiology,Cellular and Molecular Neuroscience,35,Undirected
Epidemiology,Microbiology,64,Undirected
Epidemiology,Transportation,7,Undirected
Epidemiology,Hematology,18,Undirected
Epidemiology,Aging,2,Undirected
Epidemiology,Sociology and Political Science,29,Undirected
Epidemiology,Food Science,5,Undirected
Epidemiology,Biochemistry,25,Undirected
Epidemiology,Statistics and Probability,5,Undirected
Epidemiology,Emergency Medical Services,15,Undirected
Epidemiology,Information Systems,3,Undirected
Epidemiology,Social Psychology,20,Undirected
Epidemiology,Insect Science,10,Undirected
Epidemiology,Complementary and alternative medicine,3,Undirected
Epidemiology,Clinical Psychology,58,Undirected
Epidemiology,Management of Technology and Innovation,4,Undirected
Epidemiology,Materials Chemistry,1,Undirected
Epidemiology,"Physical Therapy, Sports Therapy and Rehabilitation",7,Undirected
Epidemiology,Geriatrics and Gerontology,28,Undirected
Epidemiology,Plant Science,24,Undirected
Epidemiology,Biotechnology,3,Undirected
Epidemiology,Endocrinology,20,Undirected
Epidemiology,Signal Processing,1,Undirected
Epidemiology,Experimental and Cognitive Psychology,18,Undirected
Epidemiology,Toxicology,8,Undirected
Epidemiology,Ecology,18,Undirected
Epidemiology,Electrical and Electronic Engineering,2,Undirected
Epidemiology,Immunology and Allergy,4,Undirected
Epidemiology,Communication,1,Undirected
Epidemiology,Biological Psychiatry,6,Undirected
Epidemiology,Computer Vision and Pattern Recognition,6,Undirected
Epidemiology,Pharmacy,4,Undirected
Epidemiology,Small Animals,23,Undirected
Epidemiology,Speech and Hearing,6,Undirected
Epidemiology,Periodontics,8,Undirected
Epidemiology,Finance,3,Undirected
Epidemiology,General Social Sciences,1,Undirected
Epidemiology,Media Technology,2,Undirected
Epidemiology,Safety Research,3,Undirected
Epidemiology,Education,2,Undirected
Epidemiology,Orthopedics and Sports Medicine,13,Undirected
Epidemiology,Philosophy,2,Undirected
Epidemiology,"Ecology, Evolution, Behavior and Systematics",9,Undirected
Epidemiology,Spectroscopy,3,Undirected
Epidemiology,Management Science and Operations Research,1,Undirected
Epidemiology,Human-Computer Interaction,1,Undirected
Epidemiology,Pharmaceutical Science,1,Undirected
Epidemiology,Biomaterials,1,Undirected
Epidemiology,Atmospheric Science,1,Undirected
Epidemiology,Developmental Neuroscience,7,Undirected
Epidemiology,"Renewable Energy, Sustainability and the Environment",1,Undirected
Epidemiology,Applied Psychology,3,Undirected
Epidemiology,Otorhinolaryngology,4,Undirected
Epidemiology,Developmental and Educational Psychology,2,Undirected
Epidemiology,Occupational Therapy,2,Undirected
Epidemiology,"Safety, Risk, Reliability and Quality",3,Undirected
Epidemiology,Accounting,1,Undirected
Epidemiology,Computer Networks and Communications,2,Undirected
Epidemiology,Gender Studies,1,Undirected
Epidemiology,Pollution,1,Undirected
Epidemiology,Geophysics,1,Undirected
Epidemiology,Anthropology,1,Undirected
Epidemiology,Computational Theory and Mathematics,2,Undirected
Epidemiology,Political Science and International Relations,1,Undirected
Epidemiology,Computer Science Applications,1,Undirected
Epidemiology,Complementary and Manual Therapy,1,Undirected
Epidemiology,Building and Construction,1,Undirected
Epidemiology,Sensory Systems,1,Undirected
Oncology,Hepatology,64,Undirected
Oncology,Dermatology,39,Undirected
Oncology,Immunology,612,Undirected
Oncology,General Health Professions,48,Undirected
Oncology,"Health, Toxicology and Mutagenesis",20,Undirected
Oncology,Pulmonary and Respiratory Medicine,629,Undirected
Oncology,"Radiology, Nuclear Medicine and Imaging",205,Undirected
Oncology,Molecular Biology,851,Undirected
Oncology,Biomedical Engineering,130,Undirected
Oncology,Electrical and Electronic Engineering,52,Undirected
Oncology,Microbiology,4,Undirected
Oncology,Molecular Medicine,12,Undirected
Oncology,Pathology and Forensic Medicine,240,Undirected
Oncology,Physiology,92,Undirected
Oncology,Genetics,280,Undirected
Oncology,Cancer Research,371,Undirected
Oncology,Surgery,346,Undirected
Oncology,Nutrition and Dietetics,15,Undirected
Oncology,Biotechnology,49,Undirected
Oncology,Rheumatology,52,Undirected
Oncology,"Pediatrics, Perinatology and Child Health",60,Undirected
Oncology,Infectious Diseases,70,Undirected
