Id,Label,Count,Domain,Field
Epidemiology,Epidemiology,3723,Health Sciences,Medicine
Oncology,Oncology,3474,Health Sciences,Medicine
Ecological Modeling,Ecological Modeling,240,Physical Sciences,Environmental Science
Paleontology,Paleontology,223,Physical Sciences,Earth and Planetary Sciences
Cognitive Neuroscience,Cognitive Neuroscience,1978,Life Sciences,Neuroscience
Ecology,Ecology,1756,Physical Sciences,Environmental Science
Water Science and Technology,Water Science and Technology,804,Physical Sciences,Environmental Science
Computational Theory and Mathematics,Computational Theory and Mathematics,714,Physical Sciences,Computer Science
Atmospheric Science,Atmospheric Science,1199,Physical Sciences,Earth and Planetary Sciences
"Ecology, Evolution, Behavior and Systematics","Ecology, Evolution, Behavior and Systematics",758,Life Sciences,Agricultural and Biological Sciences
Experimental and Cognitive Psychology,Experimental and Cognitive Psychology,790,Social Sciences,Psychology
Language and Linguistics,Language and Linguistics,84,Social Sciences,Arts and Humanities
Rheumatology,Rheumatology,730,Health Sciences,Medicine
Surgery,Surgery,3402,Health Sciences,Medicine
Discrete Mathematics and Combinatorics,Discrete Mathematics and Combinatorics,30,Physical Sciences,Mathematics
Mathematical Physics,Mathematical Physics,156,Physical Sciences,Mathematics
Immunology and Allergy,Immunology and Allergy,253,Health Sciences,Medicine
Cancer Research,Cancer Research,1617,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
Molecular Biology,Molecular Biology,9907,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
Philosophy,Philosophy,108,Social Sciences,Arts and Humanities
Education,Education,710,Social Sciences,Social Sciences
Artificial Intelligence,Artificial Intelligence,3306,Physical Sciences,Computer Science
Computer Vision and Pattern Recognition,Computer Vision and Pattern Recognition,1080,Physical Sciences,Computer Science
"Radiology, Nuclear Medicine and Imaging","Radiology, Nuclear Medicine and Imaging",2193,Health Sciences,Medicine
Biomedical Engineering,Biomedical Engineering,3877,Physical Sciences,Engineering
"Health, Toxicology and Mutagenesis","Health, Toxicology and Mutagenesis",1377,Physical Sciences,Environmental Science
Health,Health,608,Social Sciences,Social Sciences
Plant Science,Plant Science,1779,Life Sciences,Agricultural and Biological Sciences
Oceanography,Oceanography,524,Physical Sciences,Earth and Planetary Sciences
Aquatic Science,Aquatic Science,115,Life Sciences,Agricultural and Biological Sciences
Hepatology,Hepatology,500,Health Sciences,Medicine
Health Informatics,Health Informatics,1028,Health Sciences,Medicine
Anthropology,Anthropology,84,Social Sciences,Social Sciences
Forestry,Forestry,38,Life Sciences,Agricultural and Biological Sciences
Health Information Management,Health Information Management,232,Health Sciences,Health Professions
"Public Health, Environmental and Occupational Health","Public Health, Environmental and Occupational Health",2661,Health Sciences,Medicine
"Pediatrics, Perinatology and Child Health","Pediatrics, Perinatology and Child Health",1118,Health Sciences,Medicine
General Agricultural and Biological Sciences,General Agricultural and Biological Sciences,106,Life Sciences,Agricultural and Biological Sciences
Economics and Econometrics,Economics and Econometrics,1778,Social Sciences,"Economics, Econometrics and Finance"
Statistics and Probability,Statistics and Probability,284,Physical Sciences,Mathematics
Gender Studies,Gender Studies,411,Social Sciences,Social Sciences
Electrical and Electronic Engineering,Electrical and Electronic Engineering,3636,Physical Sciences,Engineering
Polymers and Plastics,Polymers and Plastics,739,Physical Sciences,Materials Science
General Health Professions,General Health Professions,1579,Health Sciences,Health Professions
Finance,Finance,411,Social Sciences,"Economics, Econometrics and Finance"
Organizational Behavior and Human Resource Management,Organizational Behavior and Human Resource Management,308,Social Sciences,"Business, Management and Accounting"
Neurology,Neurology,2171,Life Sciences,Neuroscience
Nuclear and High Energy Physics,Nuclear and High Energy Physics,1165,Physical Sciences,Physics and Astronomy
Nephrology,Nephrology,395,Health Sciences,Medicine
"Endocrinology, Diabetes and Metabolism","Endocrinology, Diabetes and Metabolism",1238,Health Sciences,Medicine
Nature and Landscape Conservation,Nature and Landscape Conservation,457,Physical Sciences,Environmental Science
Global and Planetary Change,Global and Planetary Change,1826,Physical Sciences,Environmental Science
Materials Chemistry,Materials Chemistry,3580,Physical Sciences,Materials Science
Physiology,Physiology,2769,Health Sciences,Medicine
Pulmonary and Respiratory Medicine,Pulmonary and Respiratory Medicine,2937,Health Sciences,Medicine
Psychiatry and Mental health,Psychiatry and Mental health,1210,Health Sciences,Medicine
Computer Networks and Communications,Computer Networks and Communications,622,Physical Sciences,Computer Science
Management Science and Operations Research,Management Science and Operations Research,548,Social Sciences,Decision Sciences
Geriatrics and Gerontology,Geriatrics and Gerontology,239,Health Sciences,Medicine
Sociology and Political Science,Sociology and Political Science,2084,Social Sciences,Social Sciences
Inorganic Chemistry,Inorganic Chemistry,570,Physical Sciences,Chemistry
Food Science,Food Science,670,Life Sciences,Agricultural and Biological Sciences
Biotechnology,Biotechnology,311,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
Statistical and Nonlinear Physics,Statistical and Nonlinear Physics,644,Physical Sciences,Physics and Astronomy
Geometry and Topology,Geometry and Topology,177,Physical Sciences,Mathematics
Law,Law,57,Social Sciences,Social Sciences
Political Science and International Relations,Political Science and International Relations,432,Social Sciences,Social Sciences
"Management, Monitoring, Policy and Law","Management, Monitoring, Policy and Law",414,Physical Sciences,Environmental Science
Microbiology,Microbiology,233,Life Sciences,Immunology and Microbiology
Cell Biology,Cell Biology,1042,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
